,first_page_exposure,stars,polarity,subjectivity,GunningFog,ReadingTime,activity_group,ease_group,feeling_group,food_group,judgement_group,location_group,misc_group,price_group,service_group,time_group,venue_group,helpfulness_prob
199640,86.29440972208977,1.0,-0.7684,0.6,7.24,3.19,1,0,2,0,0,0,2,0,3,1,0,0.4499541137091415
68502,165.66615740722045,1.0,0.4019,0.1333333333333333,8.92,3.97,2,0,0,0,1,2,1,1,1,1,3,0.5206308645068102
253894,49.08653935184702,5.0,0.9897,0.5852592592592593,11.61,7.17,9,0,1,1,3,0,1,0,0,1,0,0.3983526844231855
156214,230.60635416628796,5.0,0.9451,0.4956666666666667,8.42,4.33,3,0,0,1,2,3,1,3,0,1,4,0.4220294711926135
77605,342.7425694447011,1.0,-0.9266,0.4832361111111111,6.65,24.36,5,0,0,3,9,0,4,0,0,5,22,0.6760815335215323
186386,61.80238425917924,3.0,0.9393,0.5549999999999999,7.02,6.29,5,0,0,2,5,2,1,0,0,1,0,0.49044801280150296
23995,-2971.0531712961383,5.0,0.9578,0.752,4.07,1.78,1,0,0,0,5,2,0,0,0,1,0,0.2267077746713196
157160,34.885416666511446,1.0,0.9806,0.439376915219612,13.89,58.39,13,1,1,1,10,4,6,8,5,7,9,0.9877349806572896
152122,-1313.9880902776497,1.0,-0.8693,0.4896789321789322,6.16,22.48,5,1,1,0,3,0,7,4,0,2,0,0.7543158131022173
239695,213.1683333334513,2.0,0.9764,0.5425595238095239,5.83,20.64,6,1,2,3,7,2,2,3,1,2,16,0.727455795659751
247487,92.91979166632518,4.0,0.9951,0.5768347338935575,9.45,17.91,6,1,2,0,15,3,0,0,2,3,13,0.6629680344417263
98524,721.3441550927237,1.0,-0.8727,0.5541666666666667,10.3,2.86,2,0,1,0,3,0,0,0,1,0,3,0.4986289602445643
153141,-3263.978645833209,1.0,-0.9714,0.5776432415321305,5.98,18.2,4,2,0,1,3,3,0,0,3,2,10,0.5315845031273932
217137,352.0846759257838,5.0,0.9669,0.5920779220779221,5.03,3.45,1,0,0,2,7,1,2,0,1,0,0,0.38072647279783073
228365,317.7673726854846,5.0,0.9371,0.4866450216450216,9.17,4.23,2,0,1,1,4,1,0,0,3,0,1,0.4063967916863457
53785,1193.7070254627615,5.0,0.9792,0.537037037037037,6.2,2.35,0,0,0,0,6,1,1,1,0,0,0,0.4540347663746334
